city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Stockholms,Hässelby,Astrakangatan,100,Astrakangatan 100 Vån 3,3,72,2250000,10,juli,2019,2250000,4539,LägenhetLägenhet,3,4700,1984,NA, Rambod Panjaki , Fastighetsbyrån Hässelby 
Stockholms,Vällingby,Ullvidevägen,63,Ullvidevägen 63A,4,79,2445000,10,juli,2019,2395000,3961,LägenhetLägenhet,NA,NA,1986,NA, Rawaz Abdullah , Svensk Fastighetsförmedling VällingbyHässelbySpånga 
Sundbybergs,Centrala,Kanalstigen,34,Kanalstigen 34 bv,2,48.5,2480000,10,juli,2019,1895000,3615,LägenhetLägenhet,0,NA,1999,NA, Shervin Hashemi , Notar 
Stockholms,Kungsholmen,Sankt Göransgatan,153,Sankt Göransgatan 153 8tr,1,22.5,2420000,10,juli,2019,2420000,1550,LägenhetLägenhet,8,2400,1949,NA, Cecilia Heikkilä , BOSTHLM Fastighetsmäklare AB 
Sundbybergs,Ursvik,Stallgatan,13,Stallgatan 13,2,46,2170000,9,juli,2019,1995000,2863,LägenhetLägenhet,NA,6000,2016,NA, Jessica Toubal , Fastighetsbyrån Sundbyberg 
Stockholms,Vällingby,Fjällnäsgatan,4,Fjällnäsgatan 4,1,39,1775000,9,juli,2019,1495000,1957,LägenhetLägenhet,NA,NA,NA,NA, Rawaz Abdullah , Svensk Fastighetsförmedling VällingbyHässelbySpånga 
Stockholms,Hässelby,Melongatan,8,Melongatan 8 1tr,2,56.5,2100000,9,juli,2019,2045000,3259,LägenhetLägenhet,1,5520,2011,NA, Emelie Clarberg , HusmanHagberg VällingbyHässelbySpånga 
Nacka,Västra,Betsövägen,10,Betsövägen 10,3,55,1800000,8,juli,2019,NA,3482,LägenhetLägenhet,NA,5640,NA,NA, Staffan John , Svensk Fastighetsförmedling Nacka 
Nacka,Nacka,Edinsvägen,10,Edinsvägen 10,1,29.5,1620000,8,juli,2019,1495000,1992,LägenhetLägenhet,NA,3000,1961,NA, Ina Olehed , Svensk Fastighetsförmedling Nacka 
Solna,Solna,Södra Långgatan,36,Södra Långgatan 36,1,43,2380000,8,juli,2019,2380000,2425,LägenhetLägenhet,NA,NA,1931,NA, Hanna Hedström , Notar 
Stockholms,Årsta,Möckelvägen,34,Möckelvägen 34,2,42,2450000,8,juli,2019,2075000,3281,LägenhetLägenhet,NA,NA,1944,NA, Annika Oveby , Notar 
Solna,Järvastaden,Våtmarksvägen,62,Våtmarksvägen 62 4tr,1.5,42,2400000,7,juli,2019,2295000,2554,LägenhetLägenhet,4,7400,2015,NA, Adam Ulfung , MOHV Solna 
Stockholms,Årsta,Storsjövägen,38,Storsjövägen 38,1,19.3,1795000,5,juli,2019,1795000,1181,LägenhetLägenhet,NA,NA,2019,NA, Michel Warnie , Fastighetsbyrån Årsta 
Stockholms,Bromma,Drachmannsgatan,22,Drachmannsgatan 22,2,54,2300000,5,juli,2019,2190000,3498,LägenhetLägenhet,NA,8400,1952,NA, Andreas Nilsson , Notar 
Sundbybergs,Sundbyberg,Brännarvägen,5,Brännarvägen 5,2,47,2175000,5,juli,2019,2175000,2733,LägenhetLägenhet,NA,4000,2017,Brf Ursvik 6, Victor Aghester , Svenska Mäklarhuset Sundbyberg 
Stockholms,Bromma,Wergelandsgatan,26,Wergelandsgatan 26 1tr,2,59,2350000,5,juli,2019,2195000,3045,LägenhetLägenhet,1,3000,1951,NA, Marcus Hemrin , Bjurfors Bromma 
