"city","area","street","street_number","address","rooms","kvm","price","day_of_month_sold","month_sold_swedish","year_sold","asking_price","avgift","type","floor","running_costs","year_built","hoa","agent_name","agency"
"Stockholms","vällingby","other",5,"other",2,59,1950000,24,"juni",2019,1950000,3554,"apartment",5,2400,1955,"other","other","länsförsäkringarfastighetsförmedlingstockholmvällingby"
"Nacka","orminge","betsövägen",4,"other",2.5,48,1825000,24,"juni",2019,1850000,3118,"apartment",2,3000,1970,"other","other","länsförsäkringarfastighetsförmedlingnacka"
"Solna","järva","fridensborgsvägen",121,"other",2,41,2200000,24,"juni",2019,2200000,2658,"apartment",3,3480,2019,"other","other","erikolssonfastighetsförmedling"
"Nacka","nacka","other",15,"other",1,26.5,2350000,23,"juni",2019,1995000,1093,"apartment",5,3240,1948,"other","other","other"
"Sundbybergs","hallonbergen","lötsjövägen",47,"other",1,50.5,1730000,20,"juni",2019,1495000,2272,"apartment",3,2671,1976,"brfterränglöparen9","sebastianscherdin","fastighetsbyrånsundbyberg"
"Sundbybergs","sundbybergs","other",13,"other",2,42,2350000,20,"juni",2019,2295000,2684,"apartment",3,3700,2018,"other","other","fastighetsbyrånsundbyberg"
"Nacka","västra","ormingeringen",74,"other",1.5,37,1700000,20,"juni",2019,1495000,2667,"apartment",1,2199,1970,"hsbsbrfagaten","danieleriksson","fastighetsbyrånnacka"
"Nacka","nacka","skarpövägen",55,"other",3.5,61,1820000,20,"juni",2019,1795000,4350,"apartment",4,4080,1972,"other","other","svenskfastighetsförmedlingnacka"
"Nacka","västra","ormingeringen",79,"other",3,61,2005000,20,"juni",2019,1650000,4164,"apartment",4,6360,1970,"hsbsbrfagaten","other","svenskfastighetsförmedlingnacka"
"Solna","gamla","råsundavägen",133,"other",1,25,2220000,20,"juni",2019,1995000,1523,"apartment",3,4518,1940,"other","other","svenskamäklarhusetsolna"
"Stockholms","bromma","holbergsgatan",100,"other",1,42,2120000,20,"juni",2019,1790000,2630,"apartment",4,5040,1952,"other","andreasnilsson","notar"
"Stockholms","vällingby","other",16,"other",2,58,2410000,20,"juni",2019,1995000,2997,"apartment",5,4918,1954,"other","johannaeriksson","other"
"Stockholms","blackeberg","other",46,"other",1.5,32,2050000,19,"juni",2019,1950000,2349,"apartment",4,5164,2018,"other","other","fastighetsbyrånbromma"
"Nacka","saltsjöbaden","other",35,"other",2,55,2000000,19,"juni",2019,1850000,2979,"apartment",2,3894,1980,"other","other","fastighetsbyrånnacka"
"Stockholms","stockholms","söderbergaallé",29,"other",2,54,1900000,19,"juni",2019,1795000,3703,"apartment",3,4500,1998,"other","other","fastighetsbyrånbromma"
"Stockholms","vasastan","other",8,"other",1,20,2400000,19,"juni",2019,1895000,1126,"apartment",1,4800,1929,"other","other","other"
"Stockholms","kungsholmen","other",50,"other",1,24.5,2500000,19,"juni",2019,2295000,1511,"apartment",2,4800,1933,"other","other","svenskfastighetsförmedlingsthlmkungsholmen"
"Nacka","västra","skarpövägen",5,"other",2,61,1720000,19,"juni",2019,1495000,3224,"apartment",3,3600,1971,"brfskarpövägen","other","other"
"Sundbybergs","rissne","other",155,"other",2,64.5,2400000,19,"juni",2019,2495000,3498,"apartment",4,5200,1995,"other","other","skandiamäklarnasundbyberg"
"Stockholms","kungsholmen","other",50,"other",1,24.5,2450000,19,"juni",2019,2175000,1424,"apartment",4,3900,1931,"other","other","other"
"Stockholms","vällingby","jämtlandsgatan",152,"other",1,33,2000000,19,"juni",2019,1795000,1723,"apartment",8,3600,1953,"other","andreasyacoub","mäklarringenvällingbyhässelby"
"Nacka","saltängen","ugglevägen",23,"other",2,47,2500000,19,"juni",2019,2295000,3017,"apartment",4,5200,1957,"other","mikaelakällroos","bosthlmfastighetsmäklareab"
"Stockholms","vällingby","vittangigatan",17,"other",1,32,1850000,19,"juni",2019,1850000,2118,"apartment",4,3800,1952,"other","other","bosthlmfastighetsmäklareab"
"Solna","råsunda","other",8,"other",1,32,2200000,19,"juni",2019,1990000,1663,"apartment",4,3400,1947,"other","other","other"
"Stockholms","hässelby","other",116,"other",1,28.1,1475000,18,"juni",2019,1475000,1577,"apartment",2,2400,2019,"other","jimmysolkarin","fastighetsbyrånhässelby"
"Sundbybergs","ör","other",12,"other",2,71.5,2500000,18,"juni",2019,2500000,2698,"apartment",3,4664,1965,"other","sebastianscherdin","fastighetsbyrånsundbyberg"
"Nacka","saltsjöbaden","other",1,"other",3,60.5,2005000,18,"juni",2019,1750000,3966,"apartment",3,4754,1964,"other","other","svenskfastighetsförmedlingnacka"
"Solna","södermalm","other",17,"other",2,53.5,2450000,18,"juni",2019,2395000,2538,"apartment",4,5049,1960,"other","info","other"
"Stockholms","bromma","other",98,"other",2,39,2320000,18,"juni",2019,1995000,2890,"apartment",2,3600,1943,"other","other","other"
"Stockholms","bromma","snörmakarvägen",4,"other",2,42,2440000,18,"juni",2019,1995000,3232,"apartment",3,4284,1942,"other","juliahast","notar"
"Stockholms","bromma","björkbacksvägen",38,"other",2,38,2150000,18,"juni",2019,1875000,3388,"apartment",3,3600,1939,"other","other","svenskamäklarhusetbromma"
"Stockholms","årsta","other",39,"other",1.5,42.2,2250000,18,"juni",2019,1995000,2391,"apartment",3,3800,1952,"other","other","other"
"Stockholms","årsta","other",41,"other",1.5,39.5,2160000,18,"juni",2019,2160000,2238,"apartment",3,4090,1948,"other","other","other"
"Stockholms","riksby","other",7,"other",2,40,2340000,18,"juni",2019,2195000,2917,"apartment",4,4342,2011,"other","other","other"
"Sundbybergs","centrala","tulegatan",75,"other",1.5,43.5,2360000,18,"juni",2019,1895000,2181,"apartment",2,5400,1944,"other","other","svenskamäklarhusetsundbyberg"
"Nacka","nacka","ormingeringen",70,"other",1.5,37,1700000,18,"juni",2019,1495000,2700,"apartment",2,3200,1969,"other","jesperlindgren","bosthlmfastighetsmäklareab"
"Nacka","finntorp","other",32,"other",1,24.3,1730000,17,"juni",2019,1495000,1740,"apartment",4,4164,1957,"other","other","svenskfastighetsförmedlingnacka"
"Stockholms","bromma","other",98,"other",2,39,2300000,17,"juni",2019,2095000,2890,"apartment",3,7704,1949,"other","sarasällström","notar"
"Stockholms","hässelby","astrakangatan",2,"other",1.5,42,1740000,17,"juni",2019,1740000,2667,"apartment",8,3600,1956,"other","other","husmanhagbergvällingbyhässelbyspånga"
"Stockholms","årsta","other",58,"other",2,57,2380000,16,"juni",2019,1995000,3890,"apartment",4,4352,1946,"other","other","fastighetsbyrånårsta"
"Stockholms","vällingby","östersundsgatan",7,"other",1,46,2250000,16,"juni",2019,2250000,2327,"apartment",9,4200,1990,"brfråck16","yosefjlahlou","fastighetsbyrånvällingby"
"Sundbybergs","hallonbergen","other",8,"other",3,80.8,2300000,16,"juni",2019,2195000,3716,"apartment",0,4704,1972,"other","other","other"
"Nacka","nacka","other",13,"other",2,54.7,2000000,16,"juni",2019,1950000,4105,"apartment",2,4800,1990,"other","other","länsförsäkringarfastighetsförmedlingnacka"
"Stockholms","johanneshov","other",12,"other",1,35,2300000,15,"juni",2019,1995000,2286,"apartment",3,4074,1944,"other","other","other"
"Solna","råsunda","other",4,"other",1,36,2400000,14,"juni",2019,2095000,2223,"apartment",4,4545,1939,"other","other","fastighetsbyrånsolna"
"Stockholms","råcksta","other",15,"other",2,54,2120000,14,"juni",2019,1795000,3281,"apartment",4,4370,2007,"other","other","other"
"Sundbybergs","ursvik","other",5,"other",2,59,2300000,14,"juni",2019,2300000,2932,"apartment",3,4399,2012,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Stockholms","bromma","spångavägen",52,"other",1.5,35.5,2225000,14,"juni",2019,1995000,2886,"apartment",1,2880,1940,"other","other","other"
"Stockholms","bromma","other",10,"other",1.5,40.7,2420000,14,"juni",2019,2190000,2715,"apartment",3,5304,2004,"other","isakoddsson","notar"
"Nacka","nacka","other",11,"other",1,44,2330000,13,"juni",2019,1995000,2792,"apartment",4,3424,2009,"other","other","fastighetsbyrånnacka"
"Stockholms","hässelby","mirabellbacken",7,"other",2,58,2050000,13,"juni",2019,1795000,3429,"apartment",3,7196,1957,"brfmirabellen","yosefjlahlou","fastighetsbyrånhässelby"
"Nacka","nacka","other",26,"other",2.5,76.5,2400000,13,"juni",2019,2250000,4795,"apartment",4,6168,1991,"other","other","fastighetsbyrånnacka"
"Stockholms","hässelby","maltesholmsvägen",165,"other",3,76,2200000,13,"juni",2019,1995000,4590,"apartment",3,5100,1966,"other","yosefjlahlou","fastighetsbyrånhässelby"
"Stockholms","stockholms","sköntorpsvägen",111,"other",1,32,2460000,13,"juni",2019,2150000,2226,"apartment",8,3882,1963,"brfnärdingen1","kimberlypändellehn","svenskfastighetsförmedlingårsta"
"Stockholms","stockholms","other",46,"other",2,43,2500000,13,"juni",2019,2250000,2626,"apartment",2,3913,1946,"other","kimberlypändellehn","svenskfastighetsförmedlingårsta"
"Stockholms","vällingby","kirunagatan",32,"other",3,63,2170000,13,"juni",2019,1995000,3251,"apartment",3,5400,1954,"other","robertblomster","mäklarhusetvällingbyhässelby"
"Nacka","saltsjöbaden","other",10,"other",2.5,67,2370000,13,"juni",2019,2370000,3640,"apartment",2,3900,1967,"other","other","länsförsäkringarfastighetsförmedlingnacka"
"Sundbybergs","duvbo","other",48,"other",2,63,1965000,13,"juni",2019,1950000,2953,"apartment",1,4234,1957,"other","annaekstrand","länsförsäkringarfastighetsförmedlingsolna"
"Sundbybergs","duvbo","other",4,"other",2,53,2450000,13,"juni",2019,2490000,3354,"apartment",3,4385,1957,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Sundbybergs","ör","other",8,"other",3,71,2275000,13,"juni",2019,1995000,2682,"apartment",4,5089,1967,"other","michellecolegate","notar"
"Stockholms","bromma","other",8,"other",1,40,2410000,13,"juni",2019,2150000,2908,"apartment",3,6240,1936,"other","noomiunéus","svenskamäklarhusetbromma"
"Stockholms","hässelby","aprikosgatan",33,"other",3,73,2500000,13,"juni",2019,2295000,4522,"apartment",4,4000,1957,"mirabellen","other","husmanhagbergvällingbyhässelbyspånga"
"Stockholms","stockholms","knypplerskevägen",12,"other",2,42,2470000,12,"juni",2019,1995000,3232,"apartment",3,7009,1942,"other","other","fastighetsbyrånbromma"
"Stockholms","stockholms","other",48,"other",2,43,2500000,12,"juni",2019,2175000,3049,"apartment",3,4052,1945,"other","kimberlypändellehn","svenskfastighetsförmedlingårsta"
